Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
11260.png            | 0.4442 | 2.25 | 25.96 | 0.8511
11267.png            | 0.4489 | 2.23 | 23.32 | 0.8894
11284.png            | 0.4397 | 2.27 | 20.15 | 0.8252
11285.png            | 0.4500 | 2.22 | 19.44 | 0.8139
11287.png            | 0.4450 | 2.25 | 18.61 | 0.6239
11304.png            | 0.4472 | 2.24 | 15.17 | 0.5490
11312.png            | 0.4503 | 2.22 | 23.45 | 0.6620
11329.png            | 0.4478 | 2.23 | 27.80 | 0.7156
11347.png            | 0.4508 | 2.22 | 17.45 | 0.8628
11356.png            | 0.4484 | 2.23 | 20.32 | 0.8513
11359.png            | 0.4477 | 2.23 | 18.10 | 0.8805
1136.png             | 0.4449 | 2.25 | 19.83 | 0.5065
11365.png            | 0.4457 | 2.24 | 18.79 | 0.8224
11378.png            | 0.4493 | 2.23 | 21.79 | 0.8104
11394.png            | 0.4288 | 2.33 | 17.13 | 0.7311
11405.png            | 0.4353 | 2.30 | 18.17 | 0.8805
1142.png             | 0.4258 | 2.35 | 23.47 | 0.8203
11435.png            | 0.4294 | 2.33 | 21.76 | 0.7818
11443.png            | 0.4285 | 2.33 | 27.48 | 0.9505
11444.png            | 0.4247 | 2.35 | 26.82 | 0.9900
11447.png            | 0.4303 | 2.32 | 29.04 | 0.8709
11449.png            | 0.4266 | 2.34 | 26.14 | 0.9435
11450.png            | 0.4211 | 2.37 | 32.60 | 0.9930
11456.png            | 0.4287 | 2.33 | 26.24 | 0.8533
11460.png            | 0.4266 | 2.34 | 25.96 | 0.8651
11462.png            | 0.4278 | 2.34 | 19.90 | 0.8074
11469.png            | 0.4300 | 2.33 | 28.24 | 0.8409
11475.png            | 0.4300 | 2.33 | 25.30 | 0.8784
11479.png            | 0.4307 | 2.32 | 22.58 | 0.7080
11484.png            | 0.4264 | 2.35 | 18.78 | 0.5575
11486.png            | 0.4274 | 2.34 | 22.34 | 0.6197
11504.png            | 0.4331 | 2.31 | 16.63 | 0.5943
11514.png            | 0.4286 | 2.33 | 24.32 | 0.5462
11522.png            | 0.4286 | 2.33 | 18.17 | 0.8636
11525.png            | 0.4280 | 2.34 | 24.12 | 0.9106
11527.png            | 0.4267 | 2.34 | 17.07 | 0.8633
11529.png            | 0.4321 | 2.31 | 22.42 | 0.8858
11536.png            | 0.4314 | 2.32 | 15.94 | 0.7846
11541.png            | 0.4296 | 2.33 | 13.92 | 0.7775
11544.png            | 0.4313 | 2.32 | 15.18 | 0.8254
11547.png            | 0.4299 | 2.33 | 22.36 | 0.7460
11576.png            | 0.4300 | 2.33 | 21.73 | 0.8562
116.png              | 0.4282 | 2.34 | 26.39 | 0.8048
11618.png            | 0.4301 | 2.32 | 17.00 | 0.7769
11620.png            | 0.4327 | 2.31 | 17.40 | 0.6846
11625.png            | 0.4292 | 2.33 | 20.28 | 0.9515
11630.png            | 0.4305 | 2.32 | 22.67 | 0.7455
11640.png            | 0.4217 | 2.37 | 20.48 | 0.9439
11646.png            | 0.4353 | 2.30 | 19.21 | 0.8927
11649.png            | 0.4300 | 2.33 | 17.44 | 0.4876
11670.png            | 0.4299 | 2.33 | 27.60 | 0.9314
11683.png            | 0.4290 | 2.33 | 31.03 | 0.7711
11703.png            | 0.4530 | 2.21 | 22.45 | 0.5035
11709.png            | 0.4424 | 2.26 | 20.86 | 0.6169
1172.png             | 0.4567 | 2.19 | 23.37 | 0.7783
11724.png            | 0.4487 | 2.23 | 22.16 | 0.7181
1173.png             | 0.4526 | 2.21 | 22.96 | 0.8471
11732.png            | 0.4524 | 2.21 | 23.15 | 0.8601
11758.png            | 0.4505 | 2.22 | 23.38 | 0.7850
1177.png             | 0.4494 | 2.23 | 16.43 | 0.6751
11772.png            | 0.4472 | 2.24 | 23.13 | 0.8460
11795.png            | 0.4507 | 2.22 | 23.95 | 0.7364
1180.png             | 0.4559 | 2.19 | 18.89 | 0.8065
11816.png            | 0.4501 | 2.22 | 15.16 | 0.7616
11817.png            | 0.4564 | 2.19 | 21.92 | 0.7175
1182.png             | 0.4515 | 2.21 | 19.30 | 0.7521
11820.png            | 0.4645 | 2.15 | 14.22 | 0.5665
11827.png            | 0.4464 | 2.24 | 27.86 | 0.9835
11865.png            | 0.4503 | 2.22 | 18.73 | 0.8056
11866.png            | 0.4461 | 2.24 | 18.55 | 0.7772
11869.png            | 0.4527 | 2.21 | 16.47 | 0.6079
11881.png            | 0.4473 | 2.24 | 24.16 | 0.7126
11884.png            | 0.4510 | 2.22 | 19.82 | 0.5192
11887.png            | 0.4540 | 2.20 | 25.26 | 0.5652
11914.png            | 0.4522 | 2.21 | 25.66 | 0.8268
11915.png            | 0.4551 | 2.20 | 24.54 | 0.8782
1192.png             | 0.4311 | 2.32 | 28.76 | 0.5017
11920.png            | 0.4220 | 2.37 | 22.90 | 0.6699
11930.png            | 0.4266 | 2.34 | 19.30 | 0.7492
11970.png            | 0.4205 | 2.38 | 21.19 | 0.6934
11981.png            | 0.4214 | 2.37 | 26.09 | 0.6754
11986.png            | 0.4251 | 2.35 | 23.35 | 0.8993
11988.png            | 0.4258 | 2.35 | 25.08 | 0.9180
11996.png            | 0.4265 | 2.34 | 24.51 | 0.8925
11999.png            | 0.4272 | 2.34 | 23.42 | 0.7088
1200.png             | 0.4249 | 2.35 | 24.23 | 0.8249
12010.png            | 0.4177 | 2.39 | 17.75 | 0.7857
12012.png            | 0.4182 | 2.39 | 21.27 | 0.9733
12013.png            | 0.4167 | 2.40 | 20.60 | 0.9659
12024.png            | 0.4202 | 2.38 | 21.52 | 0.9604
1204.png             | 0.4260 | 2.35 | 26.70 | 0.8893
12054.png            | 0.4217 | 2.37 | 15.63 | 0.7792
12063.png            | 0.4209 | 2.38 | 19.09 | 0.7030
1207.png             | 0.4186 | 2.39 | 27.64 | 0.8391
12072.png            | 0.4202 | 2.38 | 23.00 | 0.7364
12077.png            | 0.4208 | 2.38 | 20.25 | 0.7603
